City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,chibougamau,49.9168,-74.3659,284.94,82,100,3.6,CA,1724102285
347,saint-philippe,-21.3585,55.7679,293.25,71,38,4.78,RE,1724102285
348,caleta de carquin,-11.0925,-77.6267,292.15,73,10,5.54,PE,1724102285
349,la passe,45.5549,-0.8967,290.43,76,0,3.8,FR,1724102286
350,kentville,45.0835,-64.4988,299.29,80,54,3.09,CA,1724102286
351,morioka,39.7036,141.1525,294.73,88,35,0.66,JP,1724102286
352,coquimbo,-29.9533,-71.3436,286.47,66,100,2.06,CL,1724102287
353,gizo,-8.103,156.8419,300.05,81,99,4.08,SB,1724102287
354,turpan,42.9333,89.1667,304.03,30,100,2.98,CN,1724102287
355,yangambi,0.8102,24.4336,296.17,81,100,1.09,CD,1724102288
356,borgo san dalmazzo,44.333,7.4858,293.89,73,83,3.58,IT,1724102288
357,bajina basta,43.9708,19.5675,292.4,95,100,1.98,RS,1724102288
358,roma,43.2128,-75.4557,290.23,96,100,4.63,US,1724102152
359,constantia,44.1833,28.65,295.76,75,1,2.07,RO,1724102289
360,pacific grove,36.6177,-121.9166,296.13,79,0,4.12,US,1724102289
361,callao,-12.0667,-77.15,290.31,77,40,5.66,PE,1724102290
362,vernon,50.2581,-119.2691,301.35,30,100,1.54,CA,1724102290
